"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 09 15:21:23 CST 2023","Tue May 09 15:21:23 CST 2023","95","TestCase.Ad.pad","test_gphone_padTuPian","","","","test_diff[测试gphone暂停图片返回]",""
"passed","Tue May 09 15:21:13 CST 2023","Tue May 09 15:21:13 CST 2023","108","TestCase.Ad.15512_14369","test_iphone_15512santu_14369","","","","test_diff[iphone15512三图模板播放页剧集下方14369加密数据返回]",""
"passed","Tue May 09 15:21:19 CST 2023","Tue May 09 15:21:19 CST 2023","264","TestCase.Ad.oad","test_gphone_oadKeXuan","","","","test_diff[gphone前贴可选数据返回]",""
"passed","Tue May 09 15:21:12 CST 2023","Tue May 09 15:21:12 CST 2023","153","TestCase.Ad.15512_14369","test_gphone_15512santu_14369","","","","test_diff[gphone15512三图模板播放页剧集下方14369加密数据返回]",""
"passed","Tue May 09 15:21:14 CST 2023","Tue May 09 15:21:14 CST 2023","228","TestCase.Ad.16107","test_iphone_16107","","","","test_diff[iphone视频流加密数据返回]",""
"passed","Tue May 09 15:21:22 CST 2023","Tue May 09 15:21:22 CST 2023","52","TestCase.Ad.open","test_gphone_open","","","","test_diff[gphone启动图数据返回]",""
"broken","Tue May 09 15:19:50 CST 2023","Tue May 09 15:19:50 CST 2023","0","TestCase.Ad.mad","test_gphone_mad","","","","test_diff",""
"passed","Tue May 09 15:21:22 CST 2023","Tue May 09 15:21:22 CST 2023","26","TestCase.Ad.overfly","test_gphone_overfly","","","","test_diff[gphone动态焦点图数据返回]",""
"passed","Tue May 09 15:21:18 CST 2023","Tue May 09 15:21:19 CST 2023","332","TestCase.Ad.oad","test_gphone_oad","","","","test_diff[gphone前贴数据返回]",""
"passed","Tue May 09 15:21:23 CST 2023","Tue May 09 15:21:23 CST 2023","87","TestCase.Ad.pad","test_iphone_padBiaoBanShiPin","","","","test_diff[测试iphone暂停标版视频返回]",""
"passed","Tue May 09 15:21:15 CST 2023","Tue May 09 15:21:16 CST 2023","55","TestCase.Ad.flogo","test_iphone_flogo","","","","test_diff[iphone角标数据返回]",""
"passed","Tue May 09 15:21:21 CST 2023","Tue May 09 15:21:21 CST 2023","241","TestCase.Ad.oad","test_iphone_oadKeXuan","","","","test_diff[iphone前贴可选数据返回]",""
"passed","Tue May 09 15:21:17 CST 2023","Tue May 09 15:21:17 CST 2023","217","TestCase.Ad.mainPage","test_gphone_mainPage","","","","test_diff[测试gphone首页框外返回]",""
"passed","Tue May 09 15:21:12 CST 2023","Tue May 09 15:21:12 CST 2023","85","TestCase.Ad.15512_14369","test_gphone_15512tonglanshipin","","","","test_diff[gphone15512通栏视频数据返回]",""
"passed","Tue May 09 15:21:18 CST 2023","Tue May 09 15:21:18 CST 2023","107","TestCase.Ad.minimad","test_iphone_minimad","","","","test_diff[iphone迷你中插加密数据返回]",""
"passed","Tue May 09 15:21:17 CST 2023","Tue May 09 15:21:17 CST 2023","161","TestCase.Ad.mad","test_iphone_mad","","","","test_diff[测试iphone中插加密广告返回]",""
"passed","Tue May 09 15:21:15 CST 2023","Tue May 09 15:21:15 CST 2023","57","TestCase.Ad.16108","test_iphone_16108","","","","test_diff[iphone瀑布流数据返回]",""
"passed","Tue May 09 15:21:17 CST 2023","Tue May 09 15:21:18 CST 2023","209","TestCase.Ad.mainPage","test_iphone_mainPage","","","","test_diff[测试iphone首页框外返回]",""
"passed","Tue May 09 15:21:14 CST 2023","Tue May 09 15:21:14 CST 2023","184","TestCase.Ad.16107","test_gphone_16107","","","","test_diff[gphone视频流加密数据返回]",""
"passed","Tue May 09 15:21:23 CST 2023","Tue May 09 15:21:23 CST 2023","96","TestCase.Ad.pad","test_gphone_padShiPin","","","","test_diff[测试gphone暂停视频加密返回]",""
"passed","Tue May 09 15:21:22 CST 2023","Tue May 09 15:21:22 CST 2023","33","TestCase.Ad.overfly","test_gphone_overfly","","","","test_diff[gphone动态焦点图加密数据返回]",""
"passed","Tue May 09 15:21:22 CST 2023","Tue May 09 15:21:22 CST 2023","122","TestCase.Ad.oad","test_iphone_oadLianDong","","","","test_diff[gphone前贴联动加密数据返回]",""
"passed","Tue May 09 15:21:21 CST 2023","Tue May 09 15:21:21 CST 2023","95","TestCase.Ad.oad","test_iphone_oadKeTiaoGuo","","","","test_diff[iphone前贴可跳过数据返回]",""
"passed","Tue May 09 15:21:16 CST 2023","Tue May 09 15:21:16 CST 2023","60","TestCase.Ad.frontframe","test_iphone_frontframe","","","","test_diff[iphone片头画中画加密数据返回]",""
"passed","Tue May 09 15:21:24 CST 2023","Tue May 09 15:21:24 CST 2023","47","TestCase.Ad.topcloud","test_gphone_topcloud","","","","test_diff[gphone红包雨加密数据返回]",""
"passed","Tue May 09 15:21:16 CST 2023","Tue May 09 15:21:16 CST 2023","66","TestCase.Ad.focus","test_gphone_focus","","","","test_diff[gphone焦点图加密数据返回]",""
"passed","Tue May 09 15:21:13 CST 2023","Tue May 09 15:21:13 CST 2023","73","TestCase.Ad.15512_14369","test_gphone_15512xiaotutuwenxiazai","","","","test_diff[gphone15512小图图文下载数据返回]",""
"passed","Tue May 09 15:21:22 CST 2023","Tue May 09 15:21:22 CST 2023","83","TestCase.Ad.pad","test_gphone_padBiaoBanShiPin","","","","test_diff[测试gphone暂停标版视频返回]",""
"passed","Tue May 09 15:21:21 CST 2023","Tue May 09 15:21:22 CST 2023","130","TestCase.Ad.oad","test_iphone_oadLianDong","","","","test_diff[iphone前贴联动数据返回]",""
"passed","Tue May 09 15:21:16 CST 2023","Tue May 09 15:21:16 CST 2023","60","TestCase.Ad.frontframe","test_gphone_frontframe","","","","test_diff[gphone片头画中画数据返回]",""
"passed","Tue May 09 15:21:13 CST 2023","Tue May 09 15:21:14 CST 2023","67","TestCase.Ad.15512_14369","test_iphone_15512xiaotutuwenxiazai","","","","test_diff[iphone15512小图图文下载数据返回]",""
"passed","Tue May 09 15:21:20 CST 2023","Tue May 09 15:21:21 CST 2023","374","TestCase.Ad.oad","test_iphone_oad","","","","test_diff[iphone前贴加密数据返回]",""
"passed","Tue May 09 15:21:21 CST 2023","Tue May 09 15:21:21 CST 2023","120","TestCase.Ad.oad","test_iphone_oadKeTiaoGuo","","","","test_diff[iphone前贴可跳过加密数据返回]",""
"passed","Tue May 09 15:21:18 CST 2023","Tue May 09 15:21:18 CST 2023","266","TestCase.Ad.mainPage","test_iphone_mainPage","","","","test_diff[测试iphone首页框外加密返回]",""
"passed","Tue May 09 15:21:21 CST 2023","Tue May 09 15:21:21 CST 2023","312","TestCase.Ad.oad","test_iphone_oadKeXuan","","","","test_diff[iphone前贴可选加密数据返回]",""
"passed","Tue May 09 15:21:13 CST 2023","Tue May 09 15:21:13 CST 2023","84","TestCase.Ad.15512_14369","test_iphone_15512tonglanshipin","","","","test_diff[iphone15512通栏视频数据返回]",""
"passed","Tue May 09 15:21:23 CST 2023","Tue May 09 15:21:24 CST 2023","102","TestCase.Ad.pad","test_iphone_padTuPian","","","","test_diff[测试iphone暂停图片返回]",""
"passed","Tue May 09 15:21:16 CST 2023","Tue May 09 15:21:16 CST 2023","74","TestCase.Ad.flogo","test_iphone_flogo","","","","test_diff[iphone角标加密数据返回]",""
"passed","Tue May 09 14:35:19 CST 2023","Tue May 09 14:35:19 CST 2023","220","","","","","","test_diff[iphone15512通栏视频数据返回]",""
"passed","Tue May 09 15:21:15 CST 2023","Tue May 09 15:21:15 CST 2023","78","TestCase.Ad.flogo","test_gphone_flogo","","","","test_diff[gphone角标加密数据返回]",""
"passed","Tue May 09 15:21:22 CST 2023","Tue May 09 15:21:23 CST 2023","115","TestCase.Ad.pad","test_gphone_padBiaoBanShiPin","","","","test_diff[测试gphone暂停标版视频加密返回]",""
"passed","Tue May 09 15:21:13 CST 2023","Tue May 09 15:21:13 CST 2023","67","TestCase.Ad.15512_14369","test_iphone_15512xiaotutuwen","","","","test_diff[iphone15512小图图文数据返回]",""
"passed","Tue May 09 15:21:19 CST 2023","Tue May 09 15:21:19 CST 2023","110","TestCase.Ad.oad","test_gphone_oadKeTiaoGuo","","","","test_diff[gphone前贴可跳过加密数据返回]",""
"passed","Tue May 09 15:21:22 CST 2023","Tue May 09 15:21:22 CST 2023","114","TestCase.Ad.overfly","test_iphone_overfly","","","","test_diff[iphone动态焦点图数据返回]",""
"passed","Tue May 09 15:21:14 CST 2023","Tue May 09 15:21:14 CST 2023","50","TestCase.Ad.16108","test_gphone_16108","","","","test_diff[gphone瀑布流数据返回]",""
"passed","Tue May 09 15:21:24 CST 2023","Tue May 09 15:21:24 CST 2023","80","TestCase.Ad.wrapframe","test_iphone_wrapframe","","","","test_diff[iphone片尾画中画数据返回]",""
"passed","Tue May 09 15:21:15 CST 2023","Tue May 09 15:21:15 CST 2023","181","TestCase.Ad.AD00071AD00072AD00073","test_gphone_AD00071AD00072AD00073","","","","test_diff[gphonePGC播放页加密数据返回]",""
"passed","Tue May 09 15:21:19 CST 2023","Tue May 09 15:21:19 CST 2023","363","TestCase.Ad.oad","test_gphone_oad","","","","test_diff[gphone前贴加密数据返回]",""
"passed","Tue May 09 15:21:22 CST 2023","Tue May 09 15:21:22 CST 2023","152","TestCase.Ad.overfly","test_iphone_overfly","","","","test_diff[iphone动态焦点图加密数据返回]",""
"passed","Tue May 09 15:21:16 CST 2023","Tue May 09 15:21:16 CST 2023","128","TestCase.Ad.mad","test_gphone_mad","","","","test_diff[测试gphone中插广告返回]",""
"passed","Tue May 09 15:21:15 CST 2023","Tue May 09 15:21:15 CST 2023","165","TestCase.Ad.AD00071AD00072AD00073","test_iphone_AD00071AD00072AD00073","","","","test_diff[iphonePGC播放页数据返回]",""
"passed","Tue May 09 15:21:24 CST 2023","Tue May 09 15:21:24 CST 2023","64","TestCase.Ad.wrapframe","test_gphone_wrapframe","","","","test_diff[gphone片尾画中画数据返回]",""
