"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 09 14:32:14 CST 2023","Tue May 09 14:32:14 CST 2023","348","TestCase.Ad.oad","test_gphone_oad","","","","test_diff[gphone前贴加密数据返回]",""
"passed","Tue May 09 14:32:07 CST 2023","Tue May 09 14:32:07 CST 2023","51","TestCase.Ad.14967","test_iphone_14967","","","","test_diff[iphone搜索结果页加密数据返回]",""
"passed","Tue May 09 14:32:08 CST 2023","Tue May 09 14:32:08 CST 2023","101","TestCase.Ad.15512_14369","test_iphone_15512santu_14369","","","","test_diff[iphone15512三图模板播放页剧集下方14369数据返回]",""
"passed","Tue May 09 14:32:12 CST 2023","Tue May 09 14:32:13 CST 2023","211","TestCase.Ad.mainPage","test_iphone_mainPage","","","","test_diff[测试iphone首页框外返回]",""
"passed","Tue May 09 14:32:10 CST 2023","Tue May 09 14:32:10 CST 2023","143","TestCase.Ad.AD00071AD00072AD00073","test_gphone_AD00071AD00072AD00073","","","","test_diff[gphonePGC播放页数据返回]",""
"passed","Tue May 09 14:32:11 CST 2023","Tue May 09 14:32:11 CST 2023","130","TestCase.Ad.focus","test_iphone_focus","","","","test_diff[iphone焦点图加密数据返回]",""
"passed","Tue May 09 14:32:11 CST 2023","Tue May 09 14:32:12 CST 2023","150","TestCase.Ad.mad","test_gphone_mad","","","","test_diff[测试gphone中插加密广告返回]",""
"passed","Tue May 09 14:32:09 CST 2023","Tue May 09 14:32:09 CST 2023","143","TestCase.Ad.16107","test_gphone_16107","","","","test_diff[gphone视频流数据返回]",""
"passed","Tue May 09 14:32:11 CST 2023","Tue May 09 14:32:11 CST 2023","203","TestCase.Ad.focus","test_iphone_focus","","","","test_diff[iphone焦点图数据返回]",""
"passed","Tue May 09 14:32:14 CST 2023","Tue May 09 14:32:14 CST 2023","15","","","","","","test_diff[gphone前贴可跳过数据返回]",""
"passed","Tue May 09 14:32:09 CST 2023","Tue May 09 14:32:09 CST 2023","174","TestCase.Ad.16107","test_gphone_16107","","","","test_diff[gphone视频流加密数据返回]",""
"passed","Tue May 09 14:32:08 CST 2023","Tue May 09 14:32:08 CST 2023","59","TestCase.Ad.15512_14369","test_iphone_15512xiaotutuwen","","","","test_diff[iphone15512小图图文加密数据返回]",""
"passed","Tue May 09 14:32:08 CST 2023","Tue May 09 14:32:08 CST 2023","110","TestCase.Ad.15512_14369","test_gphone_15512xiaotutuwenxiazai","","","","test_diff[gphone15512小图图文下载加密数据返回]",""
"passed","Tue May 09 14:32:11 CST 2023","Tue May 09 14:32:11 CST 2023","136","TestCase.Ad.mad","test_gphone_mad","","","","test_diff[测试gphone中插广告返回]",""
"passed","Tue May 09 14:32:07 CST 2023","Tue May 09 14:32:07 CST 2023","59","TestCase.Ad.14967","test_gphone_14967","","","","test_diff[gphone视频流加密数据返回]",""
"passed","Tue May 09 14:32:07 CST 2023","Tue May 09 14:32:07 CST 2023","47","TestCase.Ad.14967","test_iphone_14967","","","","test_diff[iphone搜索结果页数据返回]",""
"passed","Tue May 09 14:32:09 CST 2023","Tue May 09 14:32:10 CST 2023","61","TestCase.Ad.16108","test_iphone_16108","","","","test_diff[iphone瀑布流加密数据返回]",""
"passed","Tue May 09 14:32:11 CST 2023","Tue May 09 14:32:11 CST 2023","57","TestCase.Ad.frontframe","test_gphone_frontframe","","","","test_diff[gphone片头画中画加密数据返回]",""
"passed","Tue May 09 14:32:13 CST 2023","Tue May 09 14:32:13 CST 2023","104","TestCase.Ad.minimad","test_gphone_minimad","","","","test_diff[gphone迷你中插加密数据返回]",""
"passed","Tue May 09 14:32:12 CST 2023","Tue May 09 14:32:12 CST 2023","192","TestCase.Ad.mainPage","test_gphone_mainPage","","","","test_diff[测试gphone首页框外返回]",""
"passed","Tue May 09 14:32:10 CST 2023","Tue May 09 14:32:10 CST 2023","117","TestCase.Ad.flogo","test_gphone_flogo","","","","test_diff[gphone角标加密数据返回]",""
"passed","Tue May 09 14:32:11 CST 2023","Tue May 09 14:32:11 CST 2023","61","TestCase.Ad.focus","test_gphone_focus","","","","test_diff[gphone焦点图加密数据返回]",""
"passed","Tue May 09 14:32:07 CST 2023","Tue May 09 14:32:08 CST 2023","67","TestCase.Ad.15512_14369","test_gphone_15512tonglanshipin","","","","test_diff[gphone15512通栏视频数据返回]",""
"passed","Tue May 09 14:32:08 CST 2023","Tue May 09 14:32:08 CST 2023","74","TestCase.Ad.15512_14369","test_iphone_15512tonglanshipin","","","","test_diff[iphone15512通栏视频加密数据返回]",""
